speechiness,valence,key,mode,acousticness,danceability,liveness,loudness,energy,tempo,language
0.0583,0.518,6.0,1.0,0.102,0.748,0.0653,-2.634,0.916,122.036,0
0.0373,0.693,11.0,1.0,0.0724,0.726,0.357,-4.969,0.815,99.972,0
0.0742,0.613,1.0,0.0,0.0794,0.675,0.11,-3.432,0.931,124.008,0
0.102,0.277,7.0,1.0,0.0287,0.718,0.204,-3.778,0.93,121.956,0
0.0359,0.725,1.0,1.0,0.0803,0.65,0.0833,-4.672,0.833,123.976,0
0.127,0.585,8.0,1.0,0.0799,0.675,0.143,-5.385,0.919,124.982,0
0.0623,0.152,5.0,0.0,0.187,0.449,0.176,-4.788,0.856,112.648,0
0.0434,0.367,4.0,0.0,0.0335,0.542,0.111,-2.419,0.903,127.936,0
0.0565,0.366,8.0,1.0,0.0249,0.594,0.637,-3.562,0.935,127.015,0
0.032,0.59,2.0,1.0,0.0567,0.642,0.0919,-4.552,0.818,124.957,0
0.181,0.752,6.0,1.0,0.146,0.679,0.124,-6.5,0.923,121.984,0
0.0554,0.329,8.0,1.0,0.148,0.437,0.133,-4.918,0.774,123.125,0
0.0463,0.687,1.0,1.0,0.0399,0.744,0.374,-4.675,0.726,121.985,0
0.0625,0.678,5.0,0.0,0.0111,0.572,0.339,-4.451,0.915,123.919,0
0.0594,0.238,5.0,0.0,0.00733,0.69,0.0729,-4.446,0.78,126.07,0
0.0896,0.722,0.0,1.0,0.13,0.805,0.365,-4.603,0.835,125.028,0
0.0948,0.368,1.0,0.0,0.0702,0.694,0.427,-4.322,0.901,118.051,0
0.165,0.516,10.0,0.0,0.0395,0.678,0.174,-5.289,0.747,120.002,0
0.0542,0.324,1.0,1.0,0.103,0.746,0.138,-6.722,0.557,111.961,0
0.0934,0.232,7.0,1.0,0.00791,0.467,0.131,-5.466,0.821,122.676,0
0.0446,0.204,6.0,0.0,0.00292,0.572,0.105,-5.053,0.934,125.948,0
0.0348,0.707,9.0,0.0,0.089,0.708,0.113,-4.329,0.913,135.016,0
0.128,0.336,4.0,0.0,0.0469,0.684,0.119,-4.477,0.818,123.938,0
0.0444,0.372,1.0,1.0,0.114,0.732,0.0388,-5.999,0.85,124.024,0
0.0352,0.422,11.0,1.0,0.0163,0.62,0.395,-3.785,0.889,110.018,0
0.0434,0.468,11.0,1.0,0.104,0.675,0.33,-7.037,0.76,124.933,0
0.0363,0.348,1.0,0.0,0.0146,0.682,0.0289,-7.117,0.851,126.0,0
0.0511,0.397,1.0,0.0,0.0325,0.663,0.333,-3.781,0.905,125.996,0
0.0517,0.371,6.0,1.0,0.00432,0.625,0.0923,-3.983,0.938,127.997,0
0.105,0.819,1.0,1.0,0.0334,0.679,0.269,-2.929,0.909,119.885,0
0.0423,0.358,11.0,1.0,0.0319,0.641,0.403,-4.754,0.869,128.091,0
0.0841,0.503,0.0,0.0,0.107,0.702,0.374,-7.51,0.814,121.993,0
0.0389,0.643,11.0,1.0,0.0103,0.723,0.0834,-6.487,0.837,123.952,0
0.0976,0.727,0.0,1.0,0.00141,0.742,0.241,-5.06,0.864,125.032,0
0.0533,0.351,10.0,1.0,0.108,0.716,0.163,-4.121,0.815,124.975,0
0.115,0.894,1.0,1.0,0.0823,0.748,0.0757,-5.029,0.831,128.024,0
0.0511,0.793,5.0,1.0,0.126,0.816,0.0625,-5.972,0.833,122.032,0
0.0432,0.659,0.0,0.0,0.0382,0.633,0.434,-4.046,0.854,126.026,0
